Id,Name,Abstract,Structure,Description
CWE-73,External Control of File Name or Path,Class,Simple,The software allows user input to control or influence paths or file names that are used in filesystem operations.
CWE-183,Permissive Whitelist,Base,Simple,"An application uses a ""whitelist"" of acceptable values, but the whitelist includes at least one unsafe value, leading to resultant weaknesses."
CWE-429,Handler Errors,,,Category
CWE-302,Authentication Bypass by Assumed-Immutable Data,Variant,Simple,"The authentication scheme or implementation uses key data elements that are assumed to be immutable, but can be controlled or modified by the attacker."
CWE-350,Reliance on Reverse DNS Resolution for a Security-Critical Action,Variant,Simple,"The software performs reverse DNS resolution on an IP address to obtain the hostname and make a security decision, but it does not properly ensure that the IP address is truly associated with the hostname."
CWE-784,Reliance on Cookies without Validation and Integrity Checking in a Security Decision,Variant,Simple,"The application uses a protection mechanism that relies on the existence or values of a cookie, but it does not properly ensure that the cookie is valid for the associated user."
CWE-1012,Cross Cutting,,,Category
CWE-254,7PK - Security Features,,,Category
CWE-269,Improper Privilege Management,Class,Simple,"The software performs an operation at a privilege level that is higher than the minimum level required, which creates new weaknesses or amplifies the consequences of other weaknesses."
CWE-657,Violation of Secure Design Principles,Class,Simple,The product violates well-established principles for secure design.
CWE-1015,Limit Access,,,Category
CWE-265,Privilege / Sandbox Issues,,,Category
CWE-345,Insufficient Verification of Data Authenticity,Class,Simple,"The software does not sufficiently verify the origin or authenticity of data, in a way that causes it to accept invalid data."
CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Base,Simple,The software does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.
CWE-668,Exposure of Resource to Wrong Sphere,Class,Simple,"The product exposes a resource to the wrong control sphere, providing unintended actors with inappropriate access to the resource."
CWE-706,Use of Incorrectly-Resolved Name or Reference,Class,Simple,"The software uses a name or reference to access a resource, but the name/reference resolves to a resource that is outside of the intended control sphere."
CWE-23,Relative Path Traversal,Base,Simple,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize sequences such as "".."" that can resolve to a location that is outside of that directory."
CWE-36,Absolute Path Traversal,Base,Simple,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize absolute path sequences such as ""/abs/path"" that can resolve to a location that is outside of that directory."
CWE-172,Encoding Error,Class,Simple,"The software does not properly encode or decode the data, resulting in unexpected values."
CWE-21,Pathname Traversal and Equivalence Errors,,,Category
CWE-1020,Verify Message Integrity,,,Category
CWE-490,Mobile Code Issues,,,Category
CWE-551,Incorrect Behavior Order: Authorization Before Parsing and Canonicalization,Base,Simple,"If a web server does not fully parse requested URLs before it examines them for authorization, it may be possible for an attacker to bypass authorization protection."
CWE-639,Authorization Bypass Through User-Controlled Key,Base,Simple,The system's authorization functionality does not prevent one user from gaining access to another user's data or record by modifying the key value identifying the data.
CWE-647,Use of Non-Canonical URL Paths for Authorization Decisions,Variant,Simple,The software defines policy namespaces and makes authorization decisions based on the assumption that a URL is canonical. This can allow a non-canonical URL to bypass the authorization.
CWE-804,Guessable CAPTCHA,Base,Simple,"The software uses a CAPTCHA challenge, but the challenge can be guessed or automatically recognized by a non-human actor."
CWE-98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),Variant,Simple,"The PHP application receives input from an upstream component, but it does not restrict or incorrectly restricts the input before its usage in ""require,"" ""include,"" or similar functions."
CWE-827,Improper Control of Document Type Definition,Variant,Simple,"The software does not restrict a reference to a Document Type Definition (DTD) to the intended control sphere. This might allow attackers to reference arbitrary DTDs, possibly causing the software to expose files, consume excessive system resources, or execute arbitrary http requests on behalf of the attacker."
CWE-830,Inclusion of Web Functionality from an Untrusted Source,Variant,Simple,"The software includes web functionality (such as a web widget) from another domain, which causes it to operate within the domain of the software, potentially granting total access and control of the software to the untrusted source."
CWE-1016,Limit Exposure,,,Category
CWE-276,Incorrect Default Permissions,Base,Simple,"The software, upon installation, sets incorrect permissions for an object that exposes it to an unintended actor."
CWE-277,Insecure Inherited Permissions,Variant,Simple,A product defines a set of insecure permissions that are inherited by objects that are created by the program.
CWE-278,Insecure Preserved Inherited Permissions,Variant,Simple,"A product inherits a set of insecure permissions for an object, e.g. when copying from an archive file, without user awareness or involvement."
CWE-279,Incorrect Execution-Assigned Permissions,Variant,Simple,"While it is executing, the software sets the permissions of an object in a way that violates the intended permissions that have been specified by the user."
CWE-281,Improper Preservation of Permissions,Base,Simple,"The software does not preserve permissions or incorrectly preserves permissions when copying, restoring, or sharing objects, which can cause them to have less restrictive permissions than intended."
CWE-689,Permission Race Condition During Resource Copy,Compound,Composite,"The product, while copying or cloning a resource, does not set the resource's permissions or access control until the copy is complete, leaving the resource exposed to other spheres while the copy is taking place."
CWE-1004,Sensitive Cookie Without 'HttpOnly' Flag,Variant,Simple,"The software uses a cookie to store sensitive information, but the cookie is not marked with the HttpOnly flag."
CWE-275,Permission Issues,,,Category
CWE-840,Business Logic Errors,,,Category
CWE-1177,Use of Prohibited Code,Class,Simple,"The software uses a function, library, or third party component that has been explicitly prohibited, whether by the developer or the customer."
CWE-328,Reversible One-Way Hash,Base,Simple,"The product uses a hashing algorithm that produces a hash value that can be used to determine the original input, or to find an input that can produce the same hash, more efficiently than brute force techniques."
CWE-780,Use of RSA Algorithm without OAEP,Variant,Simple,"The software uses the RSA algorithm but does not incorporate Optimal Asymmetric Encryption Padding (OAEP), which might weaken the encryption."
CWE-916,Use of Password Hash With Insufficient Computational Effort,Base,Simple,"The software generates a hash for a password, but it uses a scheme that does not provide a sufficient level of computational effort that would make password cracking attacks infeasible or expensive."
CWE-311,Missing Encryption of Sensitive Data,Class,Simple,The software does not encrypt sensitive or critical information before storage or transmission.
CWE-301,Reflection Attack in an Authentication Protocol,Variant,Simple,Simple authentication protocols are subject to reflection attacks if a malicious user can use the target machine to impersonate a trusted user.
CWE-208,Information Exposure Through Timing Discrepancy,Base,Simple,"Two separate operations in a product require different amounts of time to complete, in a way that is observable to an actor and reveals security-relevant information about the state of the product, such as whether a particular operation was successful or not."
CWE-682,Incorrect Calculation,Class,Simple,The software performs a calculation that generates incorrect or unintended results that are later used in security-critical decisions or resource management.
CWE-467,Use of sizeof() on a Pointer Type,Variant,Simple,"The code calls sizeof() on a malloced pointer type, which always returns the wordsize/8. This can produce an unexpected result if the programmer intended to determine how much memory has been allocated."
CWE-779,Improper Control of Interaction Frequency,Class,Simple,"The software does not properly limit the number or frequency of interactions that it has with an actor, such as the number of incoming requests."
CWE-610,Externally Controlled Reference to a Resource in Another Sphere,Class,Simple,The product uses an externally controlled name or reference that resolves to a resource that is outside of the intended control sphere.
CWE-133,String Errors,,,Category
CWE-128,Wrap-around Error,Base,Simple,"Wrap around errors occur whenever a value is incremented past the maximum value for its type and therefore ""wraps around"" to a very small, negative, or undefined value."
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
